id,X,Y,Z,formation
k1,247863,6709843,35.831,kallio
k2,247797,6709821,33.354,kallio
k3,247819,6709821,37.351,kallio
k4,247841,6709821,38.532,kallio
k5,247863,6709821,41.015,kallio
k6,247885,6709821,41.26,kallio
k7,247907,6709821,36.157,kallio
k8,247775,6709799,33.984,kallio
k9,247797,6709799,40.894,kallio
k10,247819,6709799,41.931,kallio
k11,247841,6709799,44.323,kallio
k12,247863,6709799,46.321,kallio
k13,247885,6709799,44.917,kallio
k14,247907,6709799,40.361,kallio
k15,247929,6709799,36.529,kallio
k16,247951,6709799,34.573,kallio
k17,247973,6709799,37.051,kallio
k18,247995,6709799,37.092,kallio
k19,247797,6709777,40.58,kallio
k20,247819,6709777,43.266,kallio
k21,247841,6709777,46.02,kallio
k22,247863,6709777,47.667,kallio
k23,247885,6709777,46.694,kallio
k24,247907,6709777,43.394,kallio
k25,247929,6709777,39.16,kallio
k26,247951,6709777,32.8,kallio
k27,247973,6709777,36.172,kallio
k28,247995,6709777,38.753,kallio
k29,247797,6709755,37.058,kallio
k30,247819,6709755,41.377,kallio
k31,247841,6709755,43.168,kallio
k32,247863,6709755,45.851,kallio
k33,247885,6709755,45.768,kallio
k34,247907,6709755,44.26,kallio
k35,247929,6709755,39.029,kallio
k36,247951,6709755,35.48,kallio
k37,247973,6709755,32.209,kallio
k38,247995,6709755,40.447,kallio
k39,247863,6709733,40.253,kallio
k40,247885,6709733,41.609,kallio
k41,247907,6709733,41.351,kallio
k42,247929,6709733,38.021,kallio
k43,247951,6709733,36.249,kallio
k44,247995,6709733,37.975,kallio
k45,247521,6709791,32.164,kallio
k46,247499,6709769,34.357,kallio
k47,247521,6709769,32.198,kallio
k48,247543,6709769,31.849,kallio
k49,247477,6709747,33.247,kallio
k50,247499,6709747,39.427,kallio
k51,247521,6709747,39.576,kallio
k52,247543,6709747,32.561,kallio
k53,247455,6709725,32.14,kallio
k54,247477,6709725,34.807,kallio
k55,247499,6709725,42.298,kallio
k56,247521,6709725,40.712,kallio
k57,247543,6709725,36.845,kallio
k58,247565,6709725,31.608,kallio
k59,247455,6709703,32.741,kallio
k60,247477,6709703,39.724,kallio
k61,247499,6709703,43.055,kallio
k62,247521,6709703,40.873,kallio
k63,247543,6709703,37.364,kallio
k64,247565,6709703,31.962,kallio
k65,247455,6709681,33.49,kallio
k66,247477,6709681,38.614,kallio
k67,247499,6709681,40.131,kallio
k68,247521,6709681,39.953,kallio
k69,247543,6709681,37.722,kallio
k70,247565,6709681,33.304,kallio
k71,247455,6709659,33.093,kallio
k72,247477,6709659,36.92,kallio
k73,247499,6709659,39.954,kallio
k74,247521,6709659,41.509,kallio
k75,247543,6709659,37.536,kallio
k76,247565,6709659,33.695,kallio
k77,247455,6709637,34.717,kallio
k78,247477,6709637,40.514,kallio
k79,247499,6709637,42.259,kallio
k80,247521,6709637,42.83,kallio
k81,247543,6709637,41.363,kallio
k82,247565,6709637,35.505,kallio
k83,247587,6709637,32.11,kallio
