piste,X,Y,Z,formation
1,247856.753,6709348.456,40.646,Sa
13,247824.02,6709204.035,30.727,Sa
14,247797.018,6709330.719,44.119,Sa
15,247729.254,6709315.971,44.763,Sa
16,247730.269,6709187.715,30.917,Sa
17,247689.899,6709195.473,31.191000000000003,Sa
18,247671.235,6709213.837,32.689,Sa
2,247899.271,6709359.579,40.662,Sa
22,247563.505,6709272.244,29.552000000000003,Sa
24,247532.287,6709264.979,27.825000000000003,Sa
25,247468.96,6709279.572,5.802,Sa
26,247492.815,6709261.835,13.013,Sa
27,247515.104,6709235.815,26.667,Sa
3,247628.107,6708978.595,24.844,Sa
30,247553.41,6709163.031,28.181,Sa
31,247567.485,6709137.28,29.266000000000002,Sa
32,247591.619,6709129.762,28.465,Sa
33,247660.286,6709113.756,22.66,Sa
34,247670.149,6709154.11,27.131,Sa
35,247714.574,6709094.023,17.518,Sa
36,247720.671,6709030.716,14.309,Sa
37,247742.391,6708972.308,17.301000000000002,Sa
38,247762.324,6708912.041,20.217000000000002,Sa
39,247759.155,6708853.639,15.988999999999999,Sa
4,247621.308,6708976.878,25.643,Sa
40,247704.002,6708832.266,19.862000000000002,Sa
41,247714.869,6708793.141,19.489,Sa
42,247632.807,6708824.56,19.254,Sa
43,247618.373,6708865.166,23.915000000000003,Sa
44,247602.092,6708883.876,25.062,Sa
45,247608.004,6708932.185,28.247,Sa
47,247610.206,6708958.977,28.774,Sa
48,247610.584,6708979.082,25.196,Sa
49,247596.434,6709028.329,24.205000000000002,Sa
5,247603.327,6708977.956,25.987000000000002,Sa
50,247601.41,6709081.791,26.831000000000003,Sa
70,247431.703,6709318.337,6.917999999999999,Sa
77,247474.076,6709181.941,27.43,Sa
78,247449.002,6709182.748,25.701,Sa
79,247495.113,6709210.768,23.033,Sa
80,247438.106,6709227.207,15.631,Sa
82,247689.314,6709106.452,19.843,Sa
83,247757.31,6708937.957,17.349,Sa
84,247614.8,6708864.376,23.931,Sa
85,247481.095,6709270.133,9.885,Sa
22166,247503.0,6709175.0,29.654,Mr
22167,247525.0,6709175.0,30.184,Mr
22177,247459.0,6709153.0,30.461,Mr
22178,247481.0,6709153.0,31.396,Mr
22179,247503.0,6709153.0,30.401,Mr
22180,247525.0,6709153.0,30.619,Mr
22181,247547.0,6709153.0,30.136,Mr
22193,247437.0,6709131.0,31.05,Mr
22194,247459.0,6709131.0,31.358,Mr
22195,247481.0,6709131.0,31.379,Mr
22196,247503.0,6709131.0,31.351,Mr
22197,247525.0,6709131.0,32.11,Mr
22198,247547.0,6709131.0,31.263,Mr
22212,247437.0,6709109.0,30.528,Mr
22213,247459.0,6709109.0,31.571,Mr
22214,247481.0,6709109.0,32.246,Mr
22215,247503.0,6709109.0,31.277,Mr
22216,247525.0,6709109.0,32.262,Mr
22217,247547.0,6709109.0,32.297,Mr
22218,247569.0,6709109.0,31.068,Mr
22233,247437.0,6709087.0,30.678,Mr
22234,247459.0,6709087.0,29.73,Mr
22235,247481.0,6709087.0,30.391,Mr
22236,247503.0,6709087.0,30.233,Mr
22237,247525.0,6709087.0,30.588,Mr
22238,247547.0,6709087.0,30.562,Mr
22254,247437.0,6709065.0,30.837,Mr
22255,247459.0,6709065.0,30.859,Mr
22256,247481.0,6709065.0,30.773,Mr
22257,247503.0,6709065.0,30.033,Mr
22274,247437.0,6709043.0,31.283,Mr
22275,247459.0,6709043.0,31.165,Mr
22276,247481.0,6709043.0,30.864,Mr
22293,247437.0,6709021.0,30.963,Mr
22495,247657.0,6709351.0,33.585,Mr
22496,247679.0,6709351.0,35.949,Mr
22497,247701.0,6709351.0,39.716,Mr
22498,247723.0,6709351.0,42.762,Mr
22499,247745.0,6709351.0,43.468,Mr
22500,247767.0,6709351.0,42.854,Mr
