PO,OM,Or,TY,TT,X,Y,Z,pvm,nro,AL,KL,SA,Si,KI,Sa,liSa,Hk,Sr,SrMr,Ki,Mr,Hksa,Sasi,Srmr,Hksr,Ka,Paattymissyvyys
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247542.389,6709191.727,32.224,11022020,29,000.20  -,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],000.52
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247591.619,6709129.762,30.365,10022020,32,000.20  -,,[],[],[],['000.40'],[],['001.20'],[],[],[],"['002.00', '003.17']",[],[],[],[],[],003.17
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247601.41,6709081.791,29.531,10022020,50,000.40  -,,[],[],[],['000.60'],[],[],[],[],[],"['002.80', '003.76', '003.94']",[],[],[],[],[],003.94
,Kaarinan kaupunki,Kaarinan kaupunki,20463,PO - 0,247628.107,6708978.595,29.144,12092022,3,000.00  -        Ma,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['004.80'],008.00
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247689.314,6709106.452,29.253,10022020,82,000.60  -,,[],[],[],"['000.80', '004.80']",[],[],[],[],[],"['009.51', '009.67']",[],[],[],[],[],009.67
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247720.671,6709030.716,29.239,11022020,36,000.60  -,,[],[],[],"['000.80', '007.60']",[],['015.00'],[],[],[],['015.03'],[],[],[],[],[],015.03
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247730.269,6709187.715,32.417,18022020,16,000.40  Lk,,[],[],[],['001.20'],[],['000.60'],['000.80'],[],[],"['001.60', '001.80', '002.00', '002.67']",['001.00'],[],[],[],[],002.67
,Kaarinan kaupunki,Kaarinan kaupunki,20005 -,NO 1 - - -,247757.31,6708937.957,29.249,16032022,83,,,[],[],[],"['0.00', '1.00', '2.00', '3.00']",[],[],[],[],[],[],[],[],[],[],[],
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247431.703,6709318.337,26.758,14022020,70,000.40  -,,[],[],[],"['000.60', '001.00', '001.40', '010.00', '018.60']",[],[],[],[],[],['019.94'],[],[],[],[],[],019.99
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247492.815,6709261.835,27.123,09022020,26,000.40  -,,[],[],[],"['000.60', '009.00']",[],[],[],[],[],"['014.21', '015.44', '015.68', '015.83']",[],[],[],[],[],015.83
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247797.018,6709330.719,44.879,14022022,14,0.20,,[],[],[],['0.40'],[],[],[],[],[],['0.86'],[],[],[],[],[],1.90
